Datetime,Open,Close,High,Low,Volume,Gain%
2021-03-22 00:46:40,15.83,16.97,19.07,14.25,99151,7.201516108654446
2021-03-23 00:46:40,17.5,18.0,18.1999,17.5,52910,2.857142857142857
2021-03-24 00:46:40,18.0,18.35,18.53,17.78,78960,1.9444444444444524
2021-03-25 00:46:40,18.48,18.56,18.57,17.22,62411,0.4329004329004236
2021-03-26 00:46:40,18.59,18.95,19.08,18.0001,55311,1.9365250134480876
2021-03-29 00:46:40,18.62,18.85,19.05,18.18,58444,1.235230934479057
2021-03-30 00:46:40,18.91,19.49,20.26,18.59,64381,3.067160232681112
2021-03-31 00:46:40,19.5,20.0,20.25,19.5,44355,2.564102564102564
2021-04-01 00:46:40,20.35,20.5,20.74,20.1327,56179,0.7371007371007301
2021-04-05 00:46:40,20.37,20.14,20.74,19.56,43290,-1.129111438389791
2021-04-06 00:46:40,20.12,20.65,20.7,20.12,16110,2.6341948310139043
2021-04-07 00:46:40,20.65,21.0,21.4,20.59,54325,1.6949152542372952
2021-04-08 00:46:40,21.03,20.3,21.1427,20.19,17882,-3.4712315739419894
2021-04-09 00:46:40,20.49,19.9,20.49,19.81,15934,-2.8794533918984864
2021-04-12 00:46:40,19.83,20.52,21.05,19.5039,25702,3.479576399394863
2021-04-13 00:46:40,20.75,20.95,21.19,20.44,30342,0.9638554216867437
2021-04-14 00:46:40,20.94,22.0,22.0,20.8,80962,5.06208213944603
2021-04-15 00:46:40,22.05,20.9,22.21,20.35,70091,-5.2154195011337965
2021-04-16 00:46:40,21.4,22.5,23.27,20.83,69198,5.140186915887857
2021-04-19 00:46:40,22.63,21.41,23.23,21.29,53766,-5.391073795846217
2021-04-20 00:46:40,21.14,20.49,21.47,19.06,96563,-3.0747398297067274
2021-04-21 00:46:40,17.9,19.22,19.89,17.4,644549,7.374301675977655
2021-04-22 00:46:40,19.22,18.9,19.475,18.84,185111,-1.6649323621227903
2021-04-23 00:46:40,18.85,21.12,21.25,18.6882,109079,12.042440318302384
2021-04-26 00:46:40,21.49,21.49,22.12,20.86,90360,0.0
2021-04-27 00:46:40,21.59,21.62,22.0,21.23,52221,0.13895321908291403
2021-04-28 00:46:40,21.7,22.67,22.9399,21.4,104404,4.47004608294932
2021-04-29 00:46:40,22.89,23.39,23.63,22.49,108293,2.18435998252512
2021-04-30 00:46:40,23.08,23.62,24.58,23.08,133912,2.339688041594466
2021-05-03 00:46:40,24.24,25.52,26.93,24.23,184760,5.280528052805286
2021-05-04 00:46:40,25.71,26.27,26.9,25.2154,111085,2.178140801244647
2021-05-05 00:46:40,26.49,26.95,27.5584,25.75,160576,1.7365043412608565
2021-05-06 00:46:40,26.51,27.37,29.2,25.3501,198914,3.244058845718594
2021-05-07 00:46:40,27.68,27.9,28.15,27.0,153495,0.7947976878612676
2021-05-10 00:46:40,28.57,28.71,30.4325,28.415,201709,0.4900245012250632
2021-05-11 00:46:40,28.43,26.83,28.43,25.8929,99808,-5.627857896588116
2021-05-12 00:46:40,26.44,23.98,26.9798,23.74,126977,-9.30408472012103
2021-05-13 00:46:40,23.8285,22.69,24.15,22.3201,167052,-4.7778920200599995
2021-05-14 00:46:40,23.3,23.14,25.01,22.635,83760,-0.6866952789699576
2021-05-17 00:46:40,21.99,21.0,22.62,19.98,132107,-4.5020463847203205
2021-05-18 00:46:40,22.12,25.25,25.885,22.0701,216796,14.150090415913198
2021-05-19 00:46:40,24.7679,27.0,27.97,24.61,185334,9.01206803968039
2021-05-20 00:46:40,27.3,26.06,28.68,25.27,207157,-4.54212454212455
2021-05-21 00:46:40,26.01,26.39,27.81,25.35,121001,1.4609765474817338
2021-05-24 00:46:40,26.28,26.02,26.99,25.0,78718,-0.9893455098934609
2021-05-25 00:46:40,26.21,23.6,26.67,23.45,99412,-9.958031285768788
2021-05-26 00:46:40,23.94,24.14,24.7199,23.7419,77129,0.835421888053464
2021-05-27 00:46:40,24.22,24.32,24.99,24.12,67116,0.41288191577209504
2021-05-28 00:46:40,24.84,24.88,24.88,23.55,121209,0.1610305958132011
2021-06-01 00:46:40,24.89,26.41,26.9,24.67,99504,6.106870229007632
2021-06-02 00:46:40,26.53,26.76,27.2,25.95,131755,0.8669430833019239
