Datetime,Open,Close,High,Low,Volume,Gain%
2003-02-03 00:46:40,3.03,3.09,3.13,3.0,51200,1.980198019801982
2003-02-04 00:46:40,3.15,2.9,3.16,2.87,70000,-7.936507936507936
2003-02-05 00:46:40,3.0,2.97,3.05,2.92,36400,-0.9999999999999934
2003-02-06 00:46:40,2.93,2.92,3.0,2.88,37600,-0.3412969283276529
2003-02-07 00:46:40,2.92,2.89,2.92,2.89,71300,-1.027397260273966
2003-02-10 00:46:40,2.89,2.9,3.05,2.89,30200,0.34602076124566733
2003-02-11 00:46:40,2.97,3.07,3.24,2.97,147700,3.3670033670033552
2003-02-12 00:46:40,3.14,3.04,3.15,2.97,48400,-3.184713375796181
2003-02-13 00:46:40,3.24,3.07,3.25,3.06,115600,-5.246913580246925
2003-02-14 00:46:40,3.12,3.2,3.2,2.93,41300,2.5641025641025665
2003-02-18 00:46:40,3.2,3.25,3.25,2.92,32000,1.5624999999999944
2003-02-19 00:46:40,3.09,3.1,3.1,3.02,26600,0.32362459546926314
2003-02-20 00:46:40,3.1,3.24,3.24,3.03,15000,4.5161290322580685
2003-02-21 00:46:40,3.13,3.3,3.3,3.1,28100,5.431309904153352
2003-02-24 00:46:40,3.3,3.29,3.34,3.2,18300,-0.30303030303029654
2003-02-25 00:46:40,3.21,3.21,3.3,3.21,28400,0.0
2003-02-26 00:46:40,3.2,3.29,3.29,3.05,20300,2.8124999999999956
2003-02-27 00:46:40,3.18,3.45,3.45,3.18,47700,8.49056603773585
2003-02-28 00:46:40,3.28,3.47,3.47,3.28,26000,5.79268292682928
2003-03-03 00:46:40,3.35,3.47,3.47,3.1,32000,3.5820895522388088
2003-03-04 00:46:40,3.33,3.48,3.75,3.33,66200,4.504504504504501
2003-03-05 00:46:40,3.56,3.56,3.68,3.51,61100,0.0
2003-03-06 00:46:40,3.5,3.57,3.61,3.45,36400,1.9999999999999956
2003-03-07 00:46:40,3.55,3.5,3.61,3.48,35400,-1.4084507042253471
2003-03-10 00:46:40,3.5,3.58,3.59,3.46,25800,2.285714285714288
2003-03-11 00:46:40,3.59,3.49,3.59,3.4,31300,-2.785515320334252
2003-03-12 00:46:40,3.49,3.47,3.49,3.37,21600,-0.5730659025787971
2003-03-13 00:46:40,3.47,3.46,3.5,3.42,8600,-0.2881844380403525
2003-03-14 00:46:40,3.49,3.45,3.49,3.35,25700,-1.1461318051575942
2003-03-17 00:46:40,3.45,3.38,3.45,3.38,13900,-2.028985507246385
2003-03-18 00:46:40,3.5,3.53,3.6,3.38,43200,0.8571428571428517
2003-03-19 00:46:40,3.52,3.51,3.6,3.45,52600,-0.28409090909091567
2003-03-20 00:46:40,3.57,3.62,3.62,3.46,15400,1.4005602240896433
2003-03-21 00:46:40,3.63,3.65,3.68,3.53,34200,0.5509641873278243
2003-03-24 00:46:40,3.7,3.7,3.75,3.62,36100,0.0
2003-03-25 00:46:40,3.62,3.94,3.95,3.62,140800,8.839779005524857
2003-03-26 00:46:40,3.95,4.0,4.12,3.77,115000,1.265822784810122
2003-03-27 00:46:40,4.07,4.15,4.24,3.96,138700,1.9656019656019672
2003-03-28 00:46:40,4.18,4.59,4.72,4.04,297900,9.808612440191391
2003-03-31 00:46:40,4.59,4.67,5.0,4.47,1796200,1.7429193899782152
2003-04-01 00:46:40,4.74,4.75,5.0,4.54,245300,0.21097046413501658
2003-04-02 00:46:40,4.84,4.79,4.9,4.6,279700,-1.0330578512396658
2003-04-03 00:46:40,4.61,4.55,4.81,4.31,229200,-1.3015184381778848
2003-04-04 00:46:40,4.4,4.39,4.55,3.91,180600,-0.22727272727274261
2003-04-07 00:46:40,4.35,4.5,4.6,4.23,184900,3.4482758620689737
2003-04-08 00:46:40,4.38,4.5,4.59,4.38,279100,2.739726027397263
2003-04-09 00:46:40,4.6,4.51,4.68,4.45,167500,-1.956521739130432
2003-04-10 00:46:40,4.62,4.53,4.62,4.42,184100,-1.948051948051945
2003-04-11 00:46:40,4.45,4.53,4.54,4.45,97800,1.7977528089887655
2003-04-14 00:46:40,4.52,4.8,4.9,4.52,223200,6.194690265486732
2003-04-15 00:46:40,4.9,5.25,5.35,4.89,660700,7.142857142857135
2003-04-16 00:46:40,5.0,5.2,5.25,5.0,142100,4.0000000000000036
2003-04-17 00:46:40,5.11,5.47,5.5,5.05,741800,7.0450097847358
2003-04-21 00:46:40,5.5,5.59,5.7,5.4,277900,1.6363636363636338
2003-04-22 00:46:40,5.83,5.52,5.84,5.31,316400,-5.317324185248722
2003-04-23 00:46:40,5.53,5.51,5.84,5.31,312500,-0.36166365280290164
2003-04-24 00:46:40,5.5,6.04,6.12,5.3,325600,9.818181818181818
2003-04-25 00:46:40,6.02,5.68,6.05,5.6,184200,-5.64784053156146
2003-04-28 00:46:40,5.68,6.0,6.08,5.68,220100,5.633802816901413
2003-04-29 00:46:40,6.0,5.84,6.09,5.82,183500,-2.6666666666666687
2003-04-30 00:46:40,5.82,6.25,6.25,5.82,269200,7.388316151202743
2003-05-01 00:46:40,6.11,6.29,6.29,6.01,181000,2.9459901800327284
2003-05-02 00:46:40,6.09,6.22,6.5,5.77,494400,2.1346469622331674
2003-05-05 00:46:40,6.16,5.97,6.24,5.78,171800,-3.0844155844155905
2003-05-06 00:46:40,5.83,5.91,5.94,5.72,149800,1.3722126929674112
2003-05-07 00:46:40,5.75,5.55,5.91,5.3,237500,-3.4782608695652204
2003-05-08 00:46:40,5.5,5.38,5.66,5.35,346000,-2.181818181818184
2003-05-09 00:46:40,5.26,5.89,5.95,5.16,180400,11.97718631178707
2003-05-12 00:46:40,5.89,6.0,6.04,5.78,383300,1.8675721561969494
2003-05-13 00:46:40,6.01,5.84,6.12,5.6,272900,-2.828618968386022
2003-05-14 00:46:40,5.84,5.97,6.05,5.75,375200,2.226027397260272
2003-05-15 00:46:40,6.02,5.75,6.09,5.71,218800,-4.485049833887037
2003-05-16 00:46:40,5.65,5.53,6.05,5.5,1010900,-2.123893805309736
2003-05-19 00:46:40,5.48,5.75,5.83,5.47,188300,4.927007299270065
2003-05-20 00:46:40,5.9,5.61,5.95,5.5,503900,-4.915254237288136
2003-05-21 00:46:40,5.6,5.51,5.7,5.41,343000,-1.6071428571428545
2003-05-22 00:46:40,5.6,5.88,6.44,5.46,970700,5.000000000000004
2003-05-23 00:46:40,6.08,6.34,6.42,6.0,561100,4.2763157894736805
2003-05-27 00:46:40,6.24,6.4,6.4,6.1,431200,2.5641025641025665
2003-05-28 00:46:40,6.42,6.64,6.96,6.4,532500,3.4267912772585634
2003-05-29 00:46:40,6.7,6.65,6.7,6.31,280400,-0.7462686567164152
2003-05-30 00:46:40,6.69,6.42,6.8,6.25,160900,-4.035874439461891
2003-06-02 00:46:40,6.47,6.26,6.8,5.98,313700,-3.2457496136012365
2003-06-03 00:46:40,6.22,6.06,6.29,5.9,153000,-2.572347266881031
2003-06-04 00:46:40,6.0,6.12,6.2,6.0,151100,2.0000000000000018
2003-06-05 00:46:40,6.49,6.11,6.5,6.0,274900,-5.855161787365176
2003-06-06 00:46:40,6.05,6.01,6.5,5.65,310400,-0.661157024793389
2003-06-09 00:46:40,6.0,5.8,6.11,5.51,134600,-3.333333333333336
2003-06-10 00:46:40,5.85,5.92,6.03,5.75,316600,1.1965811965812014
2003-06-11 00:46:40,6.0,6.1,6.19,5.81,428100,1.6666666666666607
2003-06-12 00:46:40,6.05,6.5,6.51,6.05,272800,7.438016528925623
2003-06-13 00:46:40,6.59,6.43,6.7,6.2,347300,-2.427921092564494
2003-06-16 00:46:40,6.26,6.44,6.49,6.25,258600,2.8753993610223736
2003-06-17 00:46:40,6.45,6.26,6.45,6.25,125300,-2.945736434108533
2003-06-18 00:46:40,6.43,6.3,6.49,6.25,247100,-2.02177293934681
2003-06-19 00:46:40,6.35,5.93,6.42,5.82,255200,-6.6141732283464565
