Datetime,Open,Close,High,Low,Volume,Gain%
2003-02-03 00:46:40,23.55,23.77,23.96,23.49,575600,0.9341825902335408
2003-02-04 00:46:40,23.5,23.55,23.58,23.15,308800,0.21276595744681154
2003-02-05 00:46:40,23.6,23.63,24.0,23.44,522800,0.12711864406778636
2003-02-06 00:46:40,23.7,23.86,23.95,23.61,633400,0.6751054852320681
2003-02-07 00:46:40,23.75,23.83,23.99,23.69,415800,0.3368421052631507
2003-02-10 00:46:40,23.9,23.83,23.92,23.48,346200,-0.29288702928870414
2003-02-11 00:46:40,23.88,24.16,24.62,23.88,631000,1.1725293132328356
2003-02-12 00:46:40,24.22,24.1,24.5,23.9,540700,-0.4954582989264965
2003-02-13 00:46:40,23.98,23.7,23.99,23.45,560000,-1.1676396997497962
2003-02-14 00:46:40,23.55,23.77,24.24,23.55,352200,0.9341825902335408
2003-02-18 00:46:40,23.6,24.0,24.2,23.59,417600,1.6949152542372818
2003-02-19 00:46:40,24.0,24.0,24.15,23.89,393600,0.0
2003-02-20 00:46:40,23.9,23.95,24.15,23.8,500800,0.20920502092050508
2003-02-21 00:46:40,23.97,24.0,24.16,23.88,719600,0.12515644555695093
2003-02-24 00:46:40,24.0,24.0,24.21,23.91,499700,0.0
2003-02-25 00:46:40,24.0,24.65,24.7,23.91,328700,2.7083333333333277
2003-02-26 00:46:40,24.6,24.75,24.95,24.45,327400,0.6097560975609698
2003-02-27 00:46:40,24.8,24.95,25.05,24.7,290100,0.6048387096774136
2003-02-28 00:46:40,24.97,25.25,25.4,24.85,462800,1.12134561473769
2003-03-03 00:46:40,25.23,25.44,25.62,25.23,491000,0.832342449464926
2003-03-04 00:46:40,25.4,25.32,25.69,25.29,331400,-0.3149606299212532
2003-03-05 00:46:40,25.32,25.86,26.0,25.32,333600,2.1327014218009444
2003-03-06 00:46:40,26.0,25.5,26.04,25.44,584400,-1.9230769230769231
2003-03-07 00:46:40,25.35,25.73,25.73,25.25,325000,1.4990138067061103
2003-03-10 00:46:40,25.65,25.1,25.7,25.03,292700,-2.1442495126705543
2003-03-11 00:46:40,24.9,24.69,24.99,24.6,296600,-0.8433734939758929
2003-03-12 00:46:40,24.55,24.59,24.82,24.43,178200,0.1629327902240291
2003-03-13 00:46:40,24.72,25.4,25.4,24.67,311800,2.750809061488672
2003-03-14 00:46:40,25.4,25.17,25.51,25.05,338200,-0.9055118110236097
2003-03-17 00:46:40,25.12,25.74,25.74,25.06,381500,2.468152866242028
2003-03-18 00:46:40,25.94,25.66,26.4,25.35,394600,-1.0794140323824253
2003-03-19 00:46:40,25.5,25.34,25.6,24.85,350400,-0.6274509803921574
2003-03-20 00:46:40,25.25,25.97,26.0,24.95,317500,2.851485148514847
2003-03-21 00:46:40,26.2,26.44,27.0,26.02,531100,0.9160305343511527
2003-03-24 00:46:40,26.44,25.68,26.44,25.65,259700,-2.874432677760974
2003-03-25 00:46:40,25.75,26.73,26.91,25.75,329500,3.8058252427184485
2003-03-26 00:46:40,26.75,26.55,26.95,26.4,396500,-0.7476635514018665
2003-03-27 00:46:40,26.47,26.69,26.9,26.13,278100,0.8311295806573572
2003-03-28 00:46:40,26.7,26.05,26.7,25.88,587700,-2.434456928838946
2003-03-31 00:46:40,26.0,26.16,26.41,25.59,462500,0.6153846153846159
2003-04-01 00:46:40,26.16,27.13,27.16,25.98,523000,3.707951070336387
2003-04-02 00:46:40,28.0,27.21,28.24,27.06,414900,-2.8214285714285685
2003-04-03 00:46:40,27.15,26.35,27.16,26.25,885700,-2.9465930018416104
2003-04-04 00:46:40,26.35,23.9,26.35,23.5,2205200,-9.297912713472495
2003-04-07 00:46:40,24.25,24.03,24.33,23.72,845800,-0.9072164948453562
2003-04-08 00:46:40,24.0,24.48,24.75,23.95,933700,2.0000000000000018
2003-04-09 00:46:40,24.58,24.22,24.94,24.2,417300,-1.4646053702196886
2003-04-10 00:46:40,24.25,24.22,24.45,24.07,394500,-0.12371134020619026
2003-04-11 00:46:40,24.3,23.98,24.45,23.86,273400,-1.3168724279835402
2003-04-14 00:46:40,24.05,24.0,24.12,23.85,263200,-0.20790020790021085
2003-04-15 00:46:40,24.0,23.15,24.0,20.6,4245000,-3.5416666666666727
2003-04-16 00:46:40,23.9,21.76,23.9,21.65,1466600,-8.953974895397478
2003-04-17 00:46:40,21.7,22.21,22.57,21.67,729000,2.350230414746551
2003-04-21 00:46:40,22.6,21.76,22.6,21.68,745500,-3.7168141592920345
2003-04-22 00:46:40,21.9,21.27,21.9,21.15,1224000,-2.8767123287671192
2003-04-23 00:46:40,21.4,22.58,22.67,21.35,732600,5.514018691588784
2003-04-24 00:46:40,21.9,20.93,21.91,19.4,2567300,-4.429223744292232
2003-04-25 00:46:40,21.75,22.1,22.4,21.5,842300,1.609195402298857
2003-04-28 00:46:40,22.08,22.2,22.29,21.86,665100,0.5434782608695699
2003-04-29 00:46:40,22.2,22.28,22.6,22.07,747700,0.36036036036036867
2003-04-30 00:46:40,22.26,22.7,22.99,22.17,1063200,1.9766397124887587
2003-05-01 00:46:40,22.55,22.3,22.64,22.03,694100,-1.1086474501108647
2003-05-02 00:46:40,22.35,22.6,22.62,22.2,611000,1.1185682326621922
2003-05-05 00:46:40,23.05,23.65,23.73,23.0,1056100,2.603036876355739
2003-05-06 00:46:40,23.55,23.59,23.8,23.05,666700,0.16985138004245923
2003-05-07 00:46:40,23.6,23.09,23.6,23.05,281500,-2.161016949152549
2003-05-08 00:46:40,23.15,22.9,23.23,22.84,542700,-1.0799136069114472
2003-05-09 00:46:40,22.95,23.16,23.33,22.95,399000,0.9150326797385657
2003-05-12 00:46:40,23.15,23.39,23.42,22.96,370200,1.036717062634998
2003-05-13 00:46:40,23.4,23.04,23.46,22.9,460000,-1.538461538461536
2003-05-14 00:46:40,22.85,22.26,23.09,21.8,1116700,-2.5820568927789926
2003-05-15 00:46:40,22.2,22.64,22.76,22.18,645900,1.9819819819819877
2003-05-16 00:46:40,22.68,22.56,22.75,22.48,158200,-0.5291005291005335
2003-05-19 00:46:40,22.46,22.16,22.47,22.07,278400,-1.3357079252003592
2003-05-20 00:46:40,22.1,22.08,22.15,21.97,633400,-0.09049773755657523
2003-05-21 00:46:40,22.15,22.16,22.24,22.07,400100,0.04514672686230954
2003-05-22 00:46:40,22.19,22.5,22.75,22.14,559100,1.3970256872465014
2003-05-23 00:46:40,22.5,22.52,22.72,22.32,304500,0.08888888888888699
2003-05-27 00:46:40,22.55,22.2,22.57,22.1,516500,-1.552106430155217
2003-05-28 00:46:40,22.25,22.39,22.47,22.14,483800,0.62921348314607
2003-05-29 00:46:40,22.5,22.52,22.9,22.46,439100,0.08888888888888699
2003-05-30 00:46:40,22.4,22.55,22.63,22.17,559600,0.6696428571428668
2003-06-02 00:46:40,22.7,23.33,23.4,22.7,686900,2.7753303964757667
2003-06-03 00:46:40,23.27,23.42,23.48,23.0,846100,0.6446067898581956
2003-06-04 00:46:40,23.5,23.61,23.73,23.35,498200,0.46808510638297635
2003-06-05 00:46:40,23.57,23.51,23.57,23.25,364000,-0.25456088247772046
2003-06-06 00:46:40,23.55,23.37,23.73,23.27,431800,-0.7643312101910816
2003-06-09 00:46:40,23.3,22.88,23.3,22.63,340000,-1.8025751072961445
2003-06-10 00:46:40,23.0,22.81,23.04,22.35,481000,-0.8260869565217446
2003-06-11 00:46:40,22.81,22.86,23.0,22.64,535300,0.21920210434020476
