Datetime,Open,Close,High,Low,Volume,Gain%
2003-02-03 00:46:40,22.53,21.77,22.74,21.59,145200,-3.3732800710164295
2003-02-04 00:46:40,21.98,21.47,21.98,20.98,238400,-2.3202911737943657
2003-02-05 00:46:40,21.36,20.46,21.48,20.0,241800,-4.213483146067409
2003-02-06 00:46:40,20.46,20.16,20.49,19.91,230400,-1.4662756598240503
2003-02-07 00:46:40,20.09,17.93,20.48,16.47,1529600,-10.751617720258835
2003-02-10 00:46:40,17.59,17.53,18.04,16.95,426500,-0.34110289937463745
2003-02-11 00:46:40,17.69,18.62,18.89,17.6,361200,5.257207461842847
2003-02-12 00:46:40,18.58,18.27,18.7,18.19,186300,-1.668460710441328
2003-02-13 00:46:40,18.26,17.33,18.35,16.69,472600,-5.093099671412942
2003-02-14 00:46:40,17.33,17.6,17.96,17.1,197700,1.557991921523388
2003-02-18 00:46:40,17.83,19.19,19.31,17.6,416900,7.627593942793062
2003-02-19 00:46:40,19.1,19.85,19.94,18.99,317800,3.926701570680628
2003-02-20 00:46:40,20.94,21.7,22.68,20.69,1085500,3.6294173829990353
2003-02-21 00:46:40,21.88,23.17,23.17,21.69,602300,5.895795246800744
2003-02-24 00:46:40,22.88,22.69,23.69,22.11,386400,-0.8304195804195705
2003-02-25 00:46:40,22.48,22.46,22.84,21.82,373600,-0.08896797153024721
2003-02-26 00:46:40,22.36,22.59,23.35,22.18,312800,1.0286225402504492
2003-02-27 00:46:40,22.69,23.19,23.58,22.59,391900,2.2036139268400174
2003-02-28 00:46:40,23.2,23.91,24.01,23.2,161300,3.0603448275862104
2003-03-03 00:46:40,24.12,23.59,24.64,23.44,268800,-2.1973466003316795
2003-03-04 00:46:40,23.65,22.37,23.65,21.94,336800,-5.412262156448193
2003-03-05 00:46:40,22.28,22.19,22.52,21.86,192900,-0.4039497307001789
2003-03-06 00:46:40,22.39,21.88,22.39,21.57,378100,-2.277802590442169
2003-03-07 00:46:40,21.61,21.72,21.89,21.43,325300,0.5090236001850968
2003-03-10 00:46:40,21.79,20.63,21.85,20.44,339500,-5.3235429095915565
2003-03-11 00:46:40,20.51,20.11,21.13,19.72,314600,-1.950268161872268
2003-03-12 00:46:40,20.19,20.49,20.53,19.69,199300,1.4858841010401047
2003-03-13 00:46:40,20.59,21.19,21.34,20.44,406700,2.9140359397765976
2003-03-14 00:46:40,21.33,22.49,23.28,21.24,452500,5.438349742147212
2003-03-17 00:46:40,22.48,23.6,24.4,22.3,433500,4.982206405693955
2003-03-18 00:46:40,23.84,23.38,24.14,23.15,368800,-1.9295302013422853
2003-03-19 00:46:40,23.14,23.45,23.72,22.91,197100,1.33967156439066
2003-03-20 00:46:40,23.35,23.3,23.61,22.95,145800,-0.2141327623126369
2003-03-21 00:46:40,23.33,24.95,25.37,23.12,435200,6.943849121303049
2003-03-24 00:46:40,25.06,23.8,25.06,23.33,279100,-5.027932960893847
2003-03-25 00:46:40,23.77,25.47,25.57,23.77,423400,7.151872107698777
2003-03-26 00:46:40,25.53,25.64,26.19,25.37,361600,0.43086564825695034
2003-03-27 00:46:40,25.57,26.11,26.39,25.49,260400,2.1118498240125114
2003-03-28 00:46:40,26.18,26.01,26.36,25.8,318900,-0.6493506493506422
2003-03-31 00:46:40,25.6,25.47,26.29,25.03,220400,-0.50781250000001
2003-04-01 00:46:40,25.85,26.62,26.9,25.52,386200,2.9787234042553172
2003-04-02 00:46:40,27.04,28.14,28.85,27.03,771500,4.068047337278112
2003-04-03 00:46:40,28.69,29.61,29.94,27.93,849200,3.206692227256877
2003-04-04 00:46:40,30.04,30.37,30.56,29.16,855600,1.0985352862849596
2003-04-07 00:46:40,32.0,30.4,32.3,30.33,952300,-5.000000000000004
2003-04-08 00:46:40,30.28,30.03,31.59,29.7,389700,-0.8256274768824305
2003-04-09 00:46:40,30.12,28.47,30.12,28.24,725600,-5.478087649402397
2003-04-10 00:46:40,28.21,29.4,29.64,27.29,896500,4.218362282878404
2003-04-11 00:46:40,30.03,29.57,30.4,29.44,436500,-1.5318015318015346
2003-04-14 00:46:40,29.52,30.19,31.69,29.52,512900,2.2696476964769707
2003-04-15 00:46:40,31.69,31.94,32.81,31.27,631000,0.7888923950773113
2003-04-16 00:46:40,32.69,32.12,32.69,31.4,658300,-1.7436524931171622
2003-04-17 00:46:40,32.19,32.14,32.46,31.49,280100,-0.15532774153462928
2003-04-21 00:46:40,32.38,32.74,33.31,32.18,510300,1.1117974058060511
2003-04-22 00:46:40,32.57,33.53,33.89,32.06,397100,2.9474976972674267
2003-04-23 00:46:40,33.69,33.75,33.99,32.94,275400,0.17809439002672092
2003-04-24 00:46:40,33.72,33.59,34.21,33.19,296200,-0.385527876631066
2003-04-25 00:46:40,33.57,33.16,33.72,32.9,228300,-1.221328567173082
2003-04-28 00:46:40,33.04,33.86,33.93,32.94,348800,2.4818401937046013
2003-04-29 00:46:40,33.89,33.74,33.89,33.19,432900,-0.44260843906756736
2003-04-30 00:46:40,33.59,32.95,33.74,32.48,581500,-1.9053289669544522
2003-05-01 00:46:40,33.09,32.53,33.09,32.25,278000,-1.6923541855545547
2003-05-02 00:46:40,32.87,33.12,33.27,32.42,234400,0.7605719501064802
2003-05-05 00:46:40,33.47,34.87,35.44,33.19,659900,4.182850313713769
2003-05-06 00:46:40,35.2,35.44,35.86,34.92,431700,0.6818181818181672
2003-05-07 00:46:40,35.71,34.53,35.72,34.31,253800,-3.3043965275833096
2003-05-08 00:46:40,34.53,34.8,35.23,33.72,404200,0.7819287576020736
2003-05-09 00:46:40,34.87,34.98,35.21,34.23,199600,0.31545741324920973
2003-05-12 00:46:40,35.24,35.89,36.19,34.85,251000,1.8444948921679867
2003-05-13 00:46:40,36.19,35.93,36.19,35.67,207000,-0.7184305056645427
2003-05-14 00:46:40,36.26,35.99,36.64,35.61,157600,-0.7446221731935908
2003-05-15 00:46:40,35.99,36.83,36.94,35.59,206700,2.3339816615726487
2003-05-16 00:46:40,36.61,36.23,37.06,36.07,208300,-1.0379677683693052
2003-05-19 00:46:40,34.87,33.97,35.86,33.54,585700,-2.5810151993117256
2003-05-20 00:46:40,33.98,32.44,34.14,30.69,1100700,-4.532077692760446
2003-05-21 00:46:40,31.42,32.84,33.03,31.34,236400,4.519414385741571
2003-05-22 00:46:40,32.87,33.71,34.54,32.87,521100,2.5555217523577833
2003-05-23 00:46:40,33.7,34.69,34.96,33.7,190300,2.9376854599406372
2003-05-27 00:46:40,34.69,35.3,35.53,34.5,318700,1.758431824733351
2003-05-28 00:46:40,35.47,34.08,35.47,33.95,334000,-3.9188046236256007
2003-05-29 00:46:40,34.07,34.11,34.89,33.81,240100,0.11740534194305591
2003-05-30 00:46:40,34.23,34.57,34.82,33.83,257900,0.9932807478819848
2003-06-02 00:46:40,34.2,34.71,35.43,34.2,184300,1.4912280701754326
2003-06-03 00:46:40,34.71,35.79,35.94,34.71,165200,3.111495246326702
2003-06-04 00:46:40,35.8,36.84,38.48,35.57,694200,2.9050279329609117
2003-06-05 00:46:40,37.49,40.53,40.74,36.69,580700,8.108829021072284
2003-06-06 00:46:40,41.06,38.33,41.79,38.08,556900,-6.64880662445203
2003-06-09 00:46:40,38.93,38.11,39.05,37.76,399300,-2.1063447212946325
2003-06-10 00:46:40,38.39,36.79,38.98,36.12,631900,-4.1677520187548875
