Datetime,Open,Close,High,Low,Volume,Gain%
2021-10-07 00:46:40,20.8,18.58,24.54,16.88,3888746,-10.673076923076934
2021-10-08 00:46:40,19.25,16.8,20.05,15.07,1616673,-12.727272727272723
2021-10-11 00:46:40,16.15,16.0,17.3499,16.0,507528,-0.928792569659434
2021-10-12 00:46:40,16.0,15.5,16.35,15.25,166944,-3.125
2021-10-13 00:46:40,15.4,15.59,15.74,14.79,169206,1.2337662337662305
2021-10-14 00:46:40,15.8,15.85,16.01,13.71,305419,0.3164556962025249
2021-10-15 00:46:40,16.0,16.01,16.46,15.35,266298,0.06250000000000977
2021-10-18 00:46:40,16.1,16.0,16.15,15.535,159947,-0.6211180124223691
2021-10-19 00:46:40,15.99,16.0,16.355,15.7,103853,0.0625390869293295
2021-10-20 00:46:40,16.09,15.75,16.289,15.75,273289,-2.113113735239278
2021-10-21 00:46:40,16.0,16.08,16.1,15.64,198882,0.49999999999998934
2021-10-22 00:46:40,16.0,16.08,16.19,15.84,61491,0.49999999999998934
2021-10-25 00:46:40,16.1,15.99,16.255,15.8,195895,-0.6832298136646037
2021-10-26 00:46:40,16.0,16.06,16.14,15.85,121282,0.374999999999992
2021-10-27 00:46:40,16.0,16.0,16.14,15.86,192673,0.0
2021-10-28 00:46:40,16.0,16.07,16.11,15.91,108728,0.4375000000000018
2021-10-29 00:46:40,16.1,17.12,17.41,15.97,162730,6.335403726708071
2021-11-01 00:46:40,17.3,17.13,17.75,16.925,126527,-0.982658959537582
2021-11-02 00:46:40,17.15,17.25,17.86,17.15,128781,0.5830903790087547
2021-11-03 00:46:40,17.28,17.46,17.615,17.255,74125,1.041666666666665
2021-11-04 00:46:40,17.57,19.68,19.9322,17.362,163454,12.009106431417186
2021-11-05 00:46:40,19.68,16.29,19.68,16.085,292831,-17.225609756097565
2021-11-08 00:46:40,16.5,16.11,17.035,15.92,323466,-2.363636363636367
2021-11-09 00:46:40,16.25,16.29,16.83,15.92,246292,0.24615384615384092
2021-11-10 00:46:40,16.47,16.83,16.84,16.39,236453,2.1857923497267726
2021-11-11 00:46:40,16.65,17.09,17.34,16.5271,115580,2.6426426426426506
2021-11-12 00:46:40,16.93,17.19,17.235,16.81,122680,1.5357353809805172
2021-11-15 00:46:40,17.01,17.0,17.6,16.77,156714,-0.05878894767784575
2021-11-16 00:46:40,16.91,17.28,17.35,16.755,87786,2.18805440567712
2021-11-17 00:46:40,17.13,18.55,18.71,16.86,153421,8.289550496205496
2021-11-18 00:46:40,18.54,19.04,19.37,17.68,330074,2.696871628910464
2021-11-19 00:46:40,19.25,20.09,20.55,19.1,290295,4.363636363636362
2021-11-22 00:46:40,20.52,17.65,20.78,16.51,218124,-13.986354775828467
2021-11-23 00:46:40,17.61,16.93,17.83,16.05,196899,-3.86144236229415
2021-11-24 00:46:40,16.8,18.0,18.53,16.55,99975,7.142857142857138
2021-11-26 00:46:40,18.17,18.3,18.93,17.01,197162,0.715465052283979
2021-11-29 00:46:40,18.37,14.49,18.37,14.125,608914,-21.1213935764834
2021-11-30 00:46:40,14.64,14.31,15.0054,12.75,124691,-2.254098360655738
2021-12-01 00:46:40,14.86,15.29,15.4299,14.12,133668,2.8936742934051125
2021-12-02 00:46:40,15.1,15.64,16.03,14.18,115297,3.5761589403973573
2021-12-03 00:46:40,15.48,15.8,16.59,14.11,162743,2.0671834625323013
2021-12-06 00:46:40,16.01,15.08,17.13,14.84,164124,-5.80886945658964
2021-12-07 00:46:40,15.13,15.19,16.4,14.705,143010,0.39656311962986596
2021-12-08 00:46:40,15.06,13.33,16.095,13.12,129436,-11.487383798140772
2021-12-09 00:46:40,13.33,13.41,14.03,13.267,86128,0.6001500375093779
2021-12-10 00:46:40,13.3,11.84,13.805,11.62,102211,-10.977443609022561
2021-12-13 00:46:40,11.93,11.58,12.72,11.1494,97030,-2.933780385582562
2021-12-14 00:46:40,11.49,9.38,11.57,8.72,186792,-18.363794604003473
2021-12-15 00:46:40,9.21,12.58,13.5,9.01,745137,36.59066232356133
2021-12-16 00:46:40,12.66,9.94,12.7622,9.51,592098,-21.48499210110585
2021-12-17 00:46:40,9.89,9.13,10.165,8.6817,1936173,-7.6845298281091985
2021-12-20 00:46:40,9.08,10.04,10.145,9.0,482942,10.572687224669593
2021-12-21 00:46:40,9.88,9.5,10.59,9.42,196145,-3.846153846153854
2021-12-22 00:46:40,9.49,8.98,9.69,8.65,217677,-5.3740779768177
2021-12-23 00:46:40,9.49,11.14,12.15,9.39,484460,17.386722866174924
2021-12-27 00:46:40,11.02,12.88,13.4,10.69,298146,16.878402903811264
2021-12-28 00:46:40,12.55,10.75,13.1425,10.38,313008,-14.342629482071716
2021-12-29 00:46:40,10.71,11.09,11.16,10.2117,168571,3.5480859010270676
2021-12-30 00:46:40,11.08,12.28,12.57,11.08,102505,10.830324909747285
2021-12-31 00:46:40,12.27,12.68,13.0,11.97,130454,3.3414832925835385
2022-01-03 00:46:40,12.62,11.66,12.62,10.8501,172082,-7.606973058637077
2022-01-04 00:46:40,11.728,11.01,11.728,10.05,126275,-6.122100954979536
2022-01-05 00:46:40,10.86,10.09,11.8638,10.06,195847,-7.090239410681395
2022-01-06 00:46:40,10.09,9.77,10.2208,9.25,158023,-3.1714568880079312
2022-01-07 00:46:40,9.69,9.83,10.0357,9.16,141869,1.4447884416924723
2022-01-10 00:46:40,9.67,9.85,10.04,9.1,123930,1.8614270941054778
2022-01-11 00:46:40,9.75,10.52,10.9,9.7,114112,7.897435897435893
2022-01-12 00:46:40,10.45,10.06,10.78,9.955,119443,-3.732057416267931
2022-01-13 00:46:40,10.06,9.52,10.06,9.01,70439,-5.367793240556669
2022-01-14 00:46:40,9.9,11.73,11.75,9.9,288326,18.484848484848484
2022-01-18 00:46:40,11.45,10.31,11.45,10.2205,116511,-9.956331877729248
2022-01-19 00:46:40,10.27,9.94,10.54,9.87,125672,-3.213242453748784
2022-01-20 00:46:40,10.2,9.91,10.69,9.71,191269,-2.843137254901953
2022-01-21 00:46:40,9.71,9.96,10.275,9.455,217105,2.5746652935118433
2022-01-24 00:46:40,10.3,10.09,10.5899,9.16,195909,-2.0388349514563187
2022-01-25 00:46:40,9.73,9.47,9.9989,9.24,53528,-2.672147995889001
2022-01-26 00:46:40,9.6,8.75,9.77,8.72,78632,-8.854166666666663
2022-01-27 00:46:40,8.9,8.75,8.99,8.17,71281,-1.68539325842697
2022-01-28 00:46:40,8.83,8.99,9.73,7.95,98828,1.8120045300113266
