Datetime,Open,Close,High,Low,Volume,Gain%
2021-11-03 00:46:40,13.77,13.77,13.77,13.77,102,0.0
2021-11-04 00:46:40,17.25,26.65,64.0,17.25,43888,54.49275362318839
2021-11-05 00:46:40,26.13,33.62,36.05,26.02,1762035,28.664370455415227
2021-11-08 00:46:40,32.0,40.0,41.9999,31.5106,547317,25.0
2021-11-09 00:46:40,40.1,42.56,44.34,39.22,404229,6.134663341645887
2021-11-10 00:46:40,41.0,40.4,42.0,39.51,815027,-1.4634146341463448
2021-11-11 00:46:40,40.43,40.0,41.5,36.69,344056,-1.0635666584219632
2021-11-12 00:46:40,38.53,38.37,39.99,34.75,511147,-0.41526083571244143
2021-11-15 00:46:40,38.02,37.25,38.18,33.6001,429777,-2.025249868490276
2021-11-16 00:46:40,36.12,37.27,38.41,35.69,433987,3.183831672203781
2021-11-17 00:46:40,37.2,35.53,37.37,34.81,360847,-4.489247311827961
2021-11-18 00:46:40,35.42,34.76,37.14,32.01,547665,-1.8633540372670911
2021-11-19 00:46:40,35.33,36.14,37.69,34.7201,345473,2.292669119728283
2021-11-22 00:46:40,36.14,33.35,36.15,33.09,391768,-7.719977863862754
2021-11-23 00:46:40,33.0,32.4,33.6,30.12,640458,-1.8181818181818226
2021-11-24 00:46:40,32.0,30.78,32.0,29.25,331780,-3.8124999999999964
2021-11-26 00:46:40,29.5,28.63,29.95,28.41,261976,-2.949152542372885
2021-11-29 00:46:40,28.74,26.76,29.4999,26.635,482324,-6.889352818371597
2021-11-30 00:46:40,26.15,26.34,27.42,25.6,633586,0.7265774378585136
2021-12-01 00:46:40,26.17,26.5,28.9099,25.73,716214,1.2609858616736656
2021-12-02 00:46:40,26.25,28.43,28.73,25.0,457787,8.304761904761904
2021-12-03 00:46:40,28.27,27.13,28.27,26.06,495853,-4.032543332154229
2021-12-06 00:46:40,27.11,25.86,28.0,24.9,554912,-4.610844706750276
2021-12-07 00:46:40,26.41,29.95,31.38,26.01,611417,13.404013631200298
2021-12-08 00:46:40,29.95,33.39,34.02,29.05,459321,11.485809682804678
2021-12-09 00:46:40,33.39,30.95,34.0,30.705,450853,-7.3075771188978775
2021-12-10 00:46:40,31.2,29.17,31.58,28.61,342720,-6.506410256410248
2021-12-13 00:46:40,29.12,31.58,32.88,28.41,422540,8.447802197802188
2021-12-14 00:46:40,30.17,28.32,31.0,27.6,443294,-6.131919124958572
2021-12-15 00:46:40,28.41,28.6,29.0,25.36,585086,0.6687785990848338
2021-12-16 00:46:40,28.83,29.8,30.67,28.23,317723,3.364550815123144
2021-12-17 00:46:40,29.31,32.58,32.9,27.72,2375877,11.156601842374615
2021-12-20 00:46:40,31.61,32.14,32.653,29.65,456074,1.6766845934830785
2021-12-21 00:46:40,32.03,30.04,33.25,29.22,662167,-6.212925382453956
2021-12-22 00:46:40,29.87,31.43,32.44,29.5401,270096,5.222631402745225
2021-12-23 00:46:40,31.4,31.01,31.4,29.44,429418,-1.2420382165605002
2021-12-27 00:46:40,30.67,31.02,31.7,29.38,364172,1.141180306488418
2021-12-28 00:46:40,30.76,27.88,31.5,27.74,377353,-9.362808842652804
2021-12-29 00:46:40,27.6,26.85,28.0,26.5,368411,-2.717391304347826
2021-12-30 00:46:40,26.71,25.92,27.7,25.52,327504,-2.9576937476600493
2021-12-31 00:46:40,25.85,25.63,26.94,25.18,268202,-0.8510638297872434
2022-01-03 00:46:40,25.59,26.72,26.88,25.0001,243203,4.415787416959746
2022-01-04 00:46:40,26.8,25.05,27.04,24.67,371925,-6.529850746268656
2022-01-05 00:46:40,24.85,22.89,25.56,22.53,387844,-7.8873239436619755
2022-01-06 00:46:40,24.06,25.23,25.67,21.89,543358,4.862842892768087
2022-01-07 00:46:40,25.0,23.89,26.24,23.68,342428,-4.439999999999998
2022-01-10 00:46:40,23.9,23.47,24.19,22.53,592287,-1.799163179916317
2022-01-11 00:46:40,23.02,22.68,24.7,22.11,397756,-1.4769765421372714
2022-01-12 00:46:40,22.67,22.08,22.8,21.3594,454236,-2.6025584472871786
2022-01-13 00:46:40,22.27,20.77,22.63,20.47,322906,-6.7355186349348894
2022-01-14 00:46:40,20.57,22.5,22.88,20.4,450747,9.382596013612055
2022-01-18 00:46:40,21.83,20.18,22.125,20.14,455601,-7.558405863490604
2022-01-19 00:46:40,20.26,20.17,21.24,19.08,258982,-0.4442250740375116
2022-01-20 00:46:40,20.61,19.84,22.21,19.75,434686,-3.7360504609412883
2022-01-21 00:46:40,19.91,20.07,21.32,19.0971,691722,0.8036162732295337
2022-01-24 00:46:40,19.08,20.67,21.0,18.81,690356,8.333333333333352
2022-01-25 00:46:40,20.45,19.73,20.89,18.62,390513,-3.520782396088014
2022-01-26 00:46:40,19.94,17.85,20.48,17.69,458400,-10.481444332998995
2022-01-27 00:46:40,18.01,16.76,18.23,16.6759,431685,-6.940588561910049
2022-01-28 00:46:40,17.17,15.75,17.17,15.6,937239,-8.270238788584749
2022-01-31 00:46:40,15.65,18.67,18.67,15.65,566047,19.297124600638984
2022-02-01 00:46:40,18.1,17.51,18.65,17.19,453570,-3.259668508287292
2022-02-02 00:46:40,17.47,15.99,17.47,15.82,515808,-8.47166571265025
2022-02-03 00:46:40,15.56,15.61,16.76,15.1,768084,0.32133676092544305
2022-02-04 00:46:40,15.97,15.58,15.97,15.0,456536,-2.442078897933629
2022-02-07 00:46:40,15.56,15.77,16.21,15.46,306281,1.3496143958868836
2022-02-08 00:46:40,15.98,15.53,16.0,15.21,223886,-2.8160200250312957
2022-02-09 00:46:40,15.6,16.27,16.29,15.56,458341,4.294871794871794
2022-02-10 00:46:40,16.69,15.41,16.89,15.0,575710,-7.669263031755548
