Datetime,Open,Close,High,Low,Volume,Gain%
2005-08-17 00:46:40,22.9,24.86,24.88,22.88,4016300,8.558951965065505
2005-08-18 00:46:40,24.3,26.33,26.55,24.25,2172500,8.353909465020566
2005-08-19 00:46:40,25.9,26.75,26.89,25.9,1122600,3.2818532818532877
2005-08-22 00:46:40,26.3,27.05,27.05,26.09,932800,2.8517110266159698
2005-08-23 00:46:40,26.9,25.95,27.0,25.54,1037700,-3.53159851301115
2005-08-24 00:46:40,24.8,24.64,25.4,24.64,1372900,-0.6451612903225812
2005-08-25 00:46:40,23.9,23.8,24.23,23.8,1869300,-0.4184100418409953
2005-08-26 00:46:40,23.6,24.05,24.1,23.51,1050500,1.906779661016946
2005-08-29 00:46:40,24.0,26.7,26.7,24.0,853000,11.249999999999998
2005-08-30 00:46:40,25.8,26.0,26.19,25.53,794900,0.7751937984496096
2005-08-31 00:46:40,25.77,26.1,26.25,25.65,1145600,1.280558789289879
2005-09-01 00:46:40,25.88,26.88,27.0,25.88,514300,3.863987635239567
2005-09-02 00:46:40,26.0,26.75,26.81,26.0,610200,2.8846153846153846
2005-09-06 00:46:40,26.3,25.75,26.79,25.4,475300,-2.0912547528517136
2005-09-07 00:46:40,25.6,25.42,25.82,25.28,320900,-0.7031249999999989
2005-09-08 00:46:40,25.42,25.4,25.65,25.14,606200,-0.07867820613691237
2005-09-09 00:46:40,25.37,26.07,26.1,25.37,514800,2.7591643673630246
2005-09-12 00:46:40,26.2,26.95,26.95,26.2,405500,2.8625954198473282
2005-09-13 00:46:40,26.7,27.25,27.75,26.63,944200,2.0599250936329616
2005-09-14 00:46:40,26.9,27.75,27.93,26.9,583400,3.159851301115247
2005-09-15 00:46:40,27.5,27.91,28.08,27.31,343300,1.4909090909090914
2005-09-16 00:46:40,27.89,28.08,28.4,27.8,397900,0.681247759053416
2005-09-19 00:46:40,28.18,28.14,28.29,27.6,356500,-0.14194464158977696
2005-09-20 00:46:40,28.14,27.62,28.14,27.54,474600,-1.8479033404406524
2005-09-21 00:46:40,27.57,27.73,28.0,27.43,366000,0.5803409503083067
2005-09-22 00:46:40,27.53,27.55,28.08,27.5,445800,0.07264802034144414
2005-09-23 00:46:40,27.45,27.76,28.25,27.4,371700,1.1293260473588425
2005-09-26 00:46:40,27.76,27.9,28.4,27.76,302500,0.5043227665705944
2005-09-27 00:46:40,27.97,27.86,28.52,27.75,429000,-0.3932785126921682
2005-09-28 00:46:40,27.72,27.85,27.98,27.6,588200,0.4689754689754782
2005-09-29 00:46:40,27.8,27.95,28.05,27.56,408200,0.5395683453237359
2005-09-30 00:46:40,27.8,28.22,28.51,27.8,269500,1.510791366906468
2005-10-03 00:46:40,28.38,28.18,28.58,28.02,708800,-0.7047216349541906
