Datetime,Open,Close,High,Low,Volume,Gain%
2007-08-22 00:46:40,7.4,7.55,7.7,7.4,8500,2.0270270270270196
2007-08-24 00:46:40,7.61,7.8,7.8,7.61,3100,2.496714848883042
2007-08-27 00:46:40,8.0,8.0,8.05,8.0,19300,0.0
2007-08-29 00:46:40,8.0,8.0,8.0,8.0,100,0.0
2007-08-30 00:46:40,8.0,8.1,8.1,8.0,300,1.2499999999999956
2007-08-31 00:46:40,8.2,8.2,8.2,8.2,500,0.0
2007-09-04 00:46:40,8.4,8.33,8.5,8.33,8200,-0.8333333333333366
2007-09-06 00:46:40,8.38,8.38,8.38,8.3,700,0.0
2007-09-07 00:46:40,8.35,8.45,8.45,8.3,2300,1.1976047904191574
2007-09-10 00:46:40,8.45,8.35,8.45,8.35,1200,-1.1834319526627177
2007-09-11 00:46:40,8.4,8.4,8.4,8.4,200,0.0
2007-09-12 00:46:40,8.5,8.4,8.75,8.4,25100,-1.17647058823529
2007-09-13 00:46:40,8.37,8.4,8.8,8.31,18900,0.35842293906811395
2007-09-14 00:46:40,8.41,8.4,8.41,8.3,2900,-0.11890606420927215
2007-09-17 00:46:40,8.35,8.55,8.55,8.3,26300,2.3952095808383365
2007-09-18 00:46:40,8.6,8.6,8.8,8.55,14600,0.0
2007-09-19 00:46:40,8.6,8.7,8.7,8.6,17200,1.1627906976744147
2007-09-20 00:46:40,8.75,8.9,8.9,8.75,400,1.7142857142857182
2007-09-21 00:46:40,9.15,9.1,9.15,9.1,8200,-0.5464480874317017
2007-09-24 00:46:40,9.15,9.5,9.5,9.15,3000,3.8251366120218537
2007-09-25 00:46:40,9.6,9.68,9.74,9.6,900,0.8333333333333341
2007-09-26 00:46:40,9.75,9.75,9.9,9.75,4400,0.0
2007-09-27 00:46:40,9.75,9.82,9.9,9.75,4500,0.717948717948721
2007-09-28 00:46:40,9.76,10.0,10.0,9.7,11400,2.4590163934426252
2007-10-01 00:46:40,10.0,9.8,10.0,9.8,7300,-1.9999999999999927
2007-10-02 00:46:40,9.9,9.9,10.15,9.9,8500,0.0
2007-10-03 00:46:40,10.0,10.11,10.11,10.0,4300,1.0999999999999943
2007-10-04 00:46:40,10.0,10.0,10.0,10.0,6900,0.0
2007-10-05 00:46:40,10.0,10.0,10.0,10.0,2000,0.0
2007-10-08 00:46:40,10.0,10.0,10.0,9.9,2500,0.0
2007-10-09 00:46:40,9.75,9.85,9.85,9.75,1700,1.025641025641022
2007-10-10 00:46:40,9.75,9.9985,10.0,9.75,8700,2.548717948717948
2007-10-11 00:46:40,10.0,9.851,10.0,9.85,1100,-1.4899999999999913
2007-10-12 00:46:40,10.0,10.0,10.0,10.0,2100,0.0
2007-10-15 00:46:40,9.8,10.0,10.15,9.75,21400,2.0408163265306047
2007-10-16 00:46:40,10.0,10.0,10.0,9.9985,3200,0.0
2007-10-17 00:46:40,10.0,10.02,10.1,9.9001,4900,0.19999999999999576
2007-10-18 00:46:40,9.9001,10.0999,10.1,9.9001,800,2.0181614327127986
2007-10-19 00:46:40,10.1,10.0,10.25,10.0,2600,-0.9900990099009866
2007-10-22 00:46:40,10.0,9.8,10.1,9.8,3500,-1.9999999999999927
2007-10-23 00:46:40,10.0,10.0,10.15,10.0,5200,0.0
2007-10-24 00:46:40,10.1,10.25,10.25,9.9,22400,1.4851485148514887
2007-10-25 00:46:40,10.15,9.99,10.15,9.99,8000,-1.5763546798029568
2007-10-26 00:46:40,10.0,10.01,10.05,10.0,1200,0.09999999999999788
2007-10-29 00:46:40,10.01,9.87,10.01,9.82,3800,-1.3986013986014043
2007-10-30 00:46:40,9.85,9.8,9.85,9.8,400,-0.5076142131979587
2007-10-31 00:46:40,9.85,9.8,9.85,9.8,1200,-0.5076142131979587
2007-11-01 00:46:40,9.75,9.94,9.94,9.75,10800,1.9487179487179436
2007-11-02 00:46:40,10.0,10.2,10.2,10.0,21200,1.9999999999999927
2007-11-05 00:46:40,10.25,10.2499,10.35,10.1,5500,-0.0009756097560952873
2007-11-06 00:46:40,10.25,10.45,10.5,10.2,31120,1.951219512195115
2007-11-07 00:46:40,10.55,10.41,10.61,10.41,6800,-1.327014218009484
2007-11-08 00:46:40,10.5,10.4544,10.5228,10.4,40100,-0.43428571428571716
2007-11-09 00:46:40,10.5,10.85,10.85,10.4501,37100,3.33333333333333
2007-11-12 00:46:40,10.8,11.4,11.99,10.54,48700,5.555555555555552
2007-11-13 00:46:40,12.0,11.7,12.0,11.4,23900,-2.500000000000006
2007-11-14 00:46:40,11.9,11.95,12.35,11.75,63600,0.4201680672268818
2007-11-15 00:46:40,12.0,12.1,12.2,11.82,11600,0.8333333333333304
2007-11-16 00:46:40,11.9,12.64,13.0,11.81,21700,6.218487394957985
2007-11-19 00:46:40,12.27,12.4,12.4,11.7,26100,1.0594947025264938
2007-11-20 00:46:40,12.3,12.1,12.4,12.0501,3800,-1.62601626016261
2007-11-21 00:46:40,12.0,12.1,12.1,12.0,4300,0.8333333333333304
2007-11-23 00:46:40,12.1,12.1,12.1,12.1,100,0.0
2007-11-26 00:46:40,12.1,12.0,12.1,11.75,4800,-0.8264462809917326
2007-11-27 00:46:40,11.8001,11.75,11.95,11.55,11600,-0.4245726731129437
2007-11-28 00:46:40,11.7001,11.85,11.9,11.7,3900,1.2811856308920333
2007-11-29 00:46:40,11.8,12.0,12.0,11.602,17300,1.6949152542372818
2007-11-30 00:46:40,12.0,11.45,12.0,10.9,14240,-4.583333333333339
