Datetime,Open,Close,High,Low,Volume,Gain%
2003-02-07 00:46:40,1.9,1.85,1.9,1.85,1100,-2.631578947368412
2003-02-12 00:46:40,1.85,1.85,1.85,1.85,100,0.0
2003-02-14 00:46:40,1.75,1.75,1.75,1.75,500,0.0
2003-02-18 00:46:40,1.75,1.75,1.75,1.75,200,0.0
2003-02-19 00:46:40,1.86,2.0,2.2,1.85,3100,7.526881720430103
2003-02-25 00:46:40,2.0,2.0,2.0,2.0,300,0.0
2003-02-26 00:46:40,2.29,2.3,2.3,2.27,2800,0.4366812227074143
2003-02-27 00:46:40,2.59,2.59,2.59,2.59,200,0.0
2003-02-28 00:46:40,2.26,2.26,2.26,2.26,1400,0.0
2003-03-03 00:46:40,1.81,1.81,1.81,1.81,1300,0.0
2003-03-04 00:46:40,1.84,1.84,1.84,1.84,500,0.0
2003-03-05 00:46:40,1.8,2.07,2.07,1.5,7300,14.999999999999988
2003-03-06 00:46:40,1.65,2.02,2.02,1.65,700,22.424242424242433
2003-03-10 00:46:40,2.02,2.02,2.02,2.02,700,0.0
2003-03-12 00:46:40,1.65,1.65,2.0,1.65,1400,0.0
2003-03-14 00:46:40,1.73,1.73,1.73,1.73,100,0.0
2003-03-17 00:46:40,1.5,1.53,1.53,1.5,1100,2.0000000000000018
2003-03-20 00:46:40,1.59,1.59,1.59,1.59,500,0.0
2003-03-21 00:46:40,1.55,1.5,1.55,1.5,500,-3.2258064516129057
2003-03-24 00:46:40,1.8,1.8,1.8,1.8,100,0.0
2003-03-26 00:46:40,1.51,1.7,1.7,1.51,3000,12.58278145695364
2003-03-27 00:46:40,1.51,1.51,1.51,1.51,500,0.0
2003-03-28 00:46:40,1.8,1.8,1.8,1.8,300,0.0
2003-03-31 00:46:40,1.55,1.55,1.55,1.55,300,0.0
2003-04-03 00:46:40,1.7,2.42,3.5,1.7,15800,42.35294117647059
2003-04-04 00:46:40,2.42,2.2,3.29,1.72,47400,-9.090909090909081
2003-04-07 00:46:40,2.2,2.2,2.2,1.71,13300,0.0
2003-04-08 00:46:40,1.84,1.93,2.0,1.84,2100,4.891304347826079
2003-04-10 00:46:40,1.98,1.98,1.98,1.98,1000,0.0
2003-04-11 00:46:40,1.98,1.7,1.98,1.7,3100,-14.141414141414144
2003-04-14 00:46:40,1.75,1.75,1.75,1.75,1800,0.0
2003-04-15 00:46:40,1.53,1.85,1.85,1.53,1500,20.915032679738566
2003-04-16 00:46:40,1.85,1.9,1.9,1.85,1900,2.7027027027026933
2003-04-21 00:46:40,1.9,1.75,1.9,1.6,1100,-7.894736842105258
2003-04-22 00:46:40,2.4,2.4,2.4,2.4,400,0.0
2003-04-23 00:46:40,1.89,1.99,1.99,1.89,1400,5.2910052910052965
2003-04-24 00:46:40,1.89,2.35,2.39,1.54,7600,24.33862433862435
2003-04-25 00:46:40,1.75,1.76,1.76,1.75,1400,0.571428571428572
2003-04-28 00:46:40,2.0,1.86,2.04,1.86,300,-6.999999999999995
2003-04-29 00:46:40,1.88,2.17,2.29,1.88,3800,15.42553191489362
2003-05-01 00:46:40,2.0,2.0,2.0,2.0,200,0.0
2003-05-07 00:46:40,2.15,2.0,2.15,2.0,300,-6.976744186046507
2003-05-09 00:46:40,2.0,2.0,2.0,2.0,300,0.0
2003-05-14 00:46:40,1.8,1.89,1.89,1.7,2300,4.999999999999992
2003-05-15 00:46:40,2.0,2.2,2.2,2.0,2000,10.000000000000009
2003-05-16 00:46:40,1.71,2.1,2.1,1.71,1000,22.807017543859658
2003-05-22 00:46:40,1.92,1.92,1.92,1.92,300,0.0
2003-05-27 00:46:40,1.92,1.92,1.92,1.92,1300,0.0
2003-05-28 00:46:40,1.82,1.82,1.82,1.82,100,0.0
2003-05-29 00:46:40,1.82,1.82,1.82,1.82,200,0.0
2003-05-30 00:46:40,1.82,1.82,1.82,1.82,200,0.0
2003-06-02 00:46:40,1.85,1.85,1.85,1.85,200,0.0
2003-06-06 00:46:40,1.85,1.85,1.85,1.85,1200,0.0
