Datetime,Open,Close,High,Low,Volume,Gain%
2022-02-11 00:46:40,8.14,8.2279,10.36,6.85,18199,1.0798525798525727
2022-02-14 00:46:40,8.22,9.2,9.64,8.09,65946,11.922141119221394
2022-02-15 00:46:40,9.2,9.15,9.49,7.4653,121685,-0.5434782608695536
2022-02-16 00:46:40,9.4,9.47,9.7,7.8001,72648,0.7446808510638327
2022-02-17 00:46:40,9.47,42.0,80.16,8.69,445359,343.50580781414993
2022-02-18 00:46:40,31.48,18.0,50.3599,17.0,991531,-42.82083862770013
2022-02-22 00:46:40,17.4,14.4,17.91,14.0,424268,-17.24137931034482
2022-02-23 00:46:40,14.23,17.0,20.3,14.22,2055181,19.465917076598732
2022-02-24 00:46:40,13.5,13.31,15.39,12.01,428304,-1.4074074074074037
2022-02-25 00:46:40,13.4,14.02,16.49,12.65,1573343,4.626865671641785
2022-02-28 00:46:40,13.8,12.1,14.0,12.03,329962,-12.318840579710152
2022-03-01 00:46:40,12.34,11.25,12.7,10.98,379106,-8.833063209076174
2022-03-02 00:46:40,11.0,9.4,11.2,9.22,526449,-14.545454545454541
2022-03-03 00:46:40,9.68,8.05,9.68,7.968,602674,-16.838842975206603
2022-03-04 00:46:40,8.39,8.21,9.24,7.91,374929,-2.145411203814061
2022-03-07 00:46:40,8.01,9.05,9.075,7.87,480377,12.983770287141086
2022-03-08 00:46:40,9.0,8.99,9.0,8.02,337632,-0.11111111111110875
2022-03-09 00:46:40,9.0,8.09,9.3,7.72,432503,-10.111111111111112
2022-03-10 00:46:40,7.89,7.75,8.1,7.23,317552,-1.7743979721165992
2022-03-11 00:46:40,7.16,6.99,7.6499,6.63,175874,-2.3743016759776525
2022-03-14 00:46:40,6.82,6.01,6.92,5.6,232300,-11.876832844574785
2022-03-15 00:46:40,5.7,4.28,6.02,4.27,515311,-24.912280701754383
2022-03-16 00:46:40,4.79,4.49,4.81,4.49,494996,-6.2630480167014575
2022-03-17 00:46:40,4.33,4.42,4.6,4.297,359248,2.0785219399538075
2022-03-18 00:46:40,4.5,4.28,4.5,4.21,1350345,-4.888888888888884
2022-03-21 00:46:40,4.3,3.75,4.34,3.73,791487,-12.790697674418603
2022-03-22 00:46:40,3.81,3.83,4.0,3.62,726356,0.5249343832021002
2022-03-23 00:46:40,3.76,4.0,4.14,3.72,864594,6.382978723404261
2022-03-24 00:46:40,4.1,4.05,4.13,3.96,427994,-1.219512195121947
2022-03-25 00:46:40,4.24,4.12,4.38,4.05,1204461,-2.8301886792452855
2022-03-28 00:46:40,4.12,4.0,4.13,3.92,328577,-2.9126213592233037
2022-03-29 00:46:40,3.95,3.94,4.12,3.9,553583,-0.2531645569620311
2022-03-30 00:46:40,3.93,3.85,4.0,3.83,369704,-2.035623409669213
2022-03-31 00:46:40,4.1,3.88,4.28,3.8,867383,-5.3658536585365795
