Datetime,Open,Close,High,Low,Volume,Gain%
2003-02-03 00:46:40,7.8475,7.845,7.9725,7.7825,5014800,-0.03185727938834521
2003-02-04 00:46:40,7.7775,7.755,7.8325,7.6875,6723600,-0.28929604628736694
2003-02-05 00:46:40,7.7525,7.785,8.0125,7.75,7660400,0.4192196065785198
2003-02-06 00:46:40,7.705,7.835,7.95,7.7,5396400,1.687216093445813
2003-02-07 00:46:40,7.8525,7.82,7.9725,7.7425,6863600,-0.4138809296402388
2003-02-10 00:46:40,7.8175,7.735,7.865,7.55,6546000,-1.0553245922609475
2003-02-11 00:46:40,7.735,7.7475,7.8375,7.6675,5674000,0.1616031027795642
2003-02-12 00:46:40,7.75,7.5675,7.7975,7.5225,7318800,-2.354838709677421
2003-02-13 00:46:40,7.575,7.4125,7.5925,7.2575,6282400,-2.1452145214521523
2003-02-14 00:46:40,7.475,7.75,7.7525,7.42,7066400,3.6789297658862927
2003-02-18 00:46:40,7.7625,8.0375,8.05,7.7525,6466800,3.542673107890492
2003-02-19 00:46:40,8.03,8.0775,8.1725,7.93,8398800,0.5915317559153327
2003-02-20 00:46:40,8.1375,7.8525,8.2025,7.835,6612800,-3.5023041474654284
2003-02-21 00:46:40,7.8675,8.0,8.13,7.7,7099600,1.6841436288528795
2003-02-24 00:46:40,7.96,7.7625,8.0,7.6575,5499200,-2.4811557788944696
2003-02-25 00:46:40,7.675,7.8325,7.8925,7.525,5275600,2.052117263843645
2003-02-26 00:46:40,7.8125,7.63,7.87,7.6125,4644800,-2.336000000000001
2003-02-27 00:46:40,7.6075,7.77,7.875,7.5975,4084000,2.136049950706535
2003-02-28 00:46:40,7.7725,7.975,8.0675,7.7675,5614000,2.605339337407522
2003-03-03 00:46:40,8.005,7.8525,8.165,7.805,5801200,-1.9050593379138132
2003-03-04 00:46:40,7.8625,7.73,7.9175,7.6875,3639600,-1.6852146263910894
2003-03-05 00:46:40,7.7475,7.73,7.815,7.59,5499600,-0.225879315908347
2003-03-06 00:46:40,7.645,7.625,7.6625,7.43,4912800,-0.26160889470241433
2003-03-07 00:46:40,7.53,7.5825,7.74,7.445,6002800,0.6972111553784771
2003-03-10 00:46:40,7.465,7.25,7.5675,7.2025,6128000,-2.8801071667782967
2003-03-11 00:46:40,7.0125,6.8925,7.1725,6.8725,11431600,-1.7112299465240657
2003-03-12 00:46:40,6.8125,7.0175,7.0875,6.8075,9017200,3.0091743119266066
2003-03-13 00:46:40,7.2375,7.2625,7.33,7.1025,8086800,0.3454231433506094
2003-03-14 00:46:40,7.305,7.34,7.5625,7.2875,7173200,0.4791238877481197
2003-03-17 00:46:40,7.345,7.7025,7.7525,7.175,10680400,4.867256637168141
2003-03-18 00:46:40,7.6875,7.79,7.8025,7.595,6078000,1.3333333333333337
2003-03-19 00:46:40,7.84,7.885,7.9475,7.7775,5159600,0.5739795918367337
2003-03-20 00:46:40,7.8075,8.13,8.205,7.795,8734400,4.1306436119116325
2003-03-21 00:46:40,8.2975,8.545,8.6725,8.2325,10282400,2.9828261524555653
2003-03-24 00:46:40,8.4,8.095,8.4,8.0925,6877600,-3.630952380952377
2003-03-25 00:46:40,8.1775,8.335,8.4225,8.14,6533600,1.9260165087129397
2003-03-26 00:46:40,8.295,8.3875,8.4625,8.255,5890000,1.1151295961422467
2003-03-27 00:46:40,8.25,8.3375,8.445,8.155,5571200,1.0606060606060648
2003-03-28 00:46:40,8.3125,8.1475,8.3975,8.115,4100800,-1.9849624060150273
2003-03-31 00:46:40,7.97,7.87,8.025,7.7875,11249600,-1.254705144291087
2003-04-01 00:46:40,7.915,7.9275,7.995,7.7825,8298400,0.15792798483891568
2003-04-02 00:46:40,8.125,8.1925,8.2625,8.065,6897600,0.8307692307692405
2003-04-03 00:46:40,8.1875,8.1825,8.2375,8.0425,4032400,-0.06106870229008588
2003-04-04 00:46:40,8.21,8.065,8.2425,7.99,4388000,-1.7661388550548274
2003-04-07 00:46:40,8.29,8.1125,8.435,8.1025,7126000,-2.1411338962605364
2003-04-08 00:46:40,8.095,8.0425,8.21,8.02,4249200,-0.6485484867202003
2003-04-09 00:46:40,7.905,7.815,8.13,7.765,7729200,-1.1385199240986699
2003-04-10 00:46:40,7.8,7.8725,7.95,7.7425,6700000,0.9294871794871767
2003-04-11 00:46:40,7.91,7.83,8.025,7.7325,5744000,-1.011378002528446
2003-04-14 00:46:40,7.8275,8.08,8.1225,7.8125,5036800,3.225806451612909
2003-04-15 00:46:40,8.0425,8.1875,8.25,7.975,3928400,1.8029219769971971
2003-04-16 00:46:40,8.305,8.3575,8.545,8.305,9130000,0.632149307645999
2003-04-17 00:46:40,8.3,8.64,8.7325,8.3,8054000,4.096385542168672
2003-04-21 00:46:40,8.6225,8.475,8.635,8.375,5534800,-1.7106407654392677
2003-04-22 00:46:40,8.425,8.42,8.5475,8.315,9575200,-0.05934718100891134
2003-04-23 00:46:40,8.235,7.9525,8.2375,7.8325,18670800,-3.430479659987854
2003-04-24 00:46:40,7.7225,7.435,7.73,7.39,18235200,-3.722887665911305
2003-04-25 00:46:40,7.47,7.38,7.5,7.2975,8439200,-1.2048192771084318
2003-04-28 00:46:40,7.19,7.5025,7.585,7.19,11848000,4.346314325452017
2003-04-29 00:46:40,7.54,7.4825,7.5625,7.2925,7941200,-0.7625994694960226
2003-04-30 00:46:40,7.4725,7.355,7.4975,7.2525,11463600,-1.5724322515891564
2003-05-01 00:46:40,7.345,7.4275,7.45,7.225,9266800,1.1232130701157312
2003-05-02 00:46:40,7.4125,7.4225,7.45,7.3025,8807200,0.13490725126476458
2003-05-05 00:46:40,7.43,7.4,7.5,7.285,11669200,-0.403768506056519
2003-05-06 00:46:40,7.385,7.5075,7.565,7.325,5717600,1.658767772511855
2003-05-07 00:46:40,7.4025,7.3725,7.565,7.31,7278000,-0.4052684903748768
2003-05-08 00:46:40,7.315,7.1925,7.3825,7.16,9022800,-1.6746411483253656
2003-05-09 00:46:40,7.255,7.33,7.4325,7.2125,8413600,1.033769813921436
2003-05-12 00:46:40,7.3375,7.5475,7.595,7.3025,8762800,2.862010221465076
2003-05-13 00:46:40,7.5025,7.6875,7.75,7.4875,11097600,2.4658447184271854
2003-05-14 00:46:40,7.7,7.685,7.7625,7.6825,10121200,-0.19480519480520217
2003-05-15 00:46:40,7.7325,7.8875,7.98,7.7325,10198800,2.004526349822182
2003-05-16 00:46:40,7.93,7.8625,7.96,7.7225,9072800,-0.851197982345522
2003-05-19 00:46:40,7.84,7.5875,7.8675,7.575,8963600,-3.220663265306116
2003-05-20 00:46:40,7.635,7.69,7.785,7.6125,7592800,0.7203667321545594
2003-05-21 00:46:40,7.71,7.66,7.755,7.6325,5851600,-0.6485084306095956
2003-05-22 00:46:40,7.655,7.7325,7.895,7.65,5004800,1.0124101894186766
2003-05-23 00:46:40,7.6975,7.76,7.79,7.6875,3754400,0.8119519324455992
2003-05-27 00:46:40,7.7275,8.0725,8.175,7.6875,8574400,4.464574571336135
2003-05-28 00:46:40,8.0625,8.12,8.1875,7.9725,6188000,0.7131782945736337
2003-05-29 00:46:40,8.16,8.05,8.25,8.035,4628000,-1.3480392156862675
