Datetime,Open,Close,High,Low,Volume,Gain%
2003-02-03 00:46:40,15.65,15.78,15.98,15.5,43773800,0.8306709265175655
2003-02-04 00:46:40,15.57,15.64,15.78,15.33,41066900,0.4495825305073878
2003-02-05 00:46:40,15.77,15.58,16.15,15.5,50881700,-1.2048192771084307
2003-02-06 00:46:40,15.49,15.41,15.71,15.26,47355000,-0.5164622336991612
2003-02-07 00:46:40,15.53,15.05,15.63,14.89,49537900,-3.0907920154539514
2003-02-10 00:46:40,15.07,15.27,15.45,14.88,52977000,1.3271400132713953
2003-02-11 00:46:40,15.39,15.34,15.53,15.06,47251200,-0.32488628979857515
2003-02-12 00:46:40,15.28,15.15,15.42,15.11,38401800,-0.8507853403141298
2003-02-13 00:46:40,15.33,15.53,15.6,15.1,54625400,1.3046314416177385
2003-02-14 00:46:40,15.68,16.15,16.2,15.53,54749800,2.9974489795918298
2003-02-18 00:46:40,16.41,16.73,16.75,16.18,50500400,1.9500304692260835
2003-02-19 00:46:40,16.99,16.78,17.06,16.5,51793600,-1.2360211889346515
2003-02-20 00:46:40,17.08,16.96,17.1,16.82,52122900,-0.7025761124121631
2003-02-21 00:46:40,17.04,16.79,17.05,16.42,61341900,-1.4671361502347418
2003-02-24 00:46:40,16.68,16.54,17.1,16.52,49143300,-0.8393285371702672
2003-02-25 00:46:40,16.29,16.73,16.79,16.0,58507600,2.7010435850214938
2003-02-26 00:46:40,16.52,16.24,16.85,16.11,53413000,-1.6949152542372952
2003-02-27 00:46:40,16.38,16.7,16.77,16.3,50289500,1.9536019536019553
2003-02-28 00:46:40,16.98,17.25,17.29,16.81,65249200,1.5901060070671353
2003-03-03 00:46:40,17.13,16.66,17.31,16.58,58274100,-2.743724460011669
2003-03-04 00:46:40,16.69,16.62,16.91,16.48,50779600,-0.41941282204913294
2003-03-05 00:46:40,16.66,16.98,17.09,16.6,49337000,1.9207683073229307
2003-03-06 00:46:40,16.86,16.66,16.99,16.57,56422200,-1.1862396204033172
2003-03-07 00:46:40,15.86,16.01,16.19,15.72,91034200,0.9457755359394838
2003-03-10 00:46:40,15.92,15.9,16.1,15.71,57545600,-0.1256281407035149
2003-03-11 00:46:40,15.97,15.85,16.1,15.81,49677600,-0.751408891671891
2003-03-12 00:46:40,15.81,16.17,16.21,15.59,61890000,2.277039848197351
2003-03-13 00:46:40,16.62,17.35,17.36,16.4,78008096,4.392298435619738
2003-03-14 00:46:40,17.41,17.17,17.44,16.88,73086096,-1.3785180930499623
2003-03-17 00:46:40,17.0,18.06,18.18,16.94,77678200,6.235294117647052
2003-03-18 00:46:40,18.17,18.25,18.29,17.78,62210200,0.44028618602090414
2003-03-19 00:46:40,18.09,17.98,18.2,17.67,64608400,-0.6080707573244856
2003-03-20 00:46:40,17.87,18.27,18.61,17.8,68798496,2.238388360380518
2003-03-21 00:46:40,18.69,18.92,19.01,18.5,73448400,1.2306046013911205
2003-03-24 00:46:40,18.08,17.82,18.32,17.81,64780300,-1.4380530973451218
2003-03-25 00:46:40,17.93,18.04,18.24,17.65,60596500,0.6134969325153342
2003-03-26 00:46:40,17.99,17.89,18.05,17.8,44360100,-0.5558643690939293
2003-03-27 00:46:40,17.61,17.58,17.82,17.42,46430300,-0.1703577512776896
2003-03-28 00:46:40,17.42,17.22,17.65,17.2,37304200,-1.1481056257175821
2003-03-31 00:46:40,16.65,16.28,16.82,16.26,66443100,-2.222222222222207
2003-04-01 00:46:40,16.38,16.42,16.65,16.28,45993300,0.24420024420026068
2003-04-02 00:46:40,17.0,17.52,17.6,17.0,56811800,3.0588235294117623
2003-04-03 00:46:40,17.62,17.57,18.0,17.45,55164700,-0.2837684449489257
2003-04-04 00:46:40,17.63,17.05,17.68,16.85,56633700,-3.2898468519568818
2003-04-07 00:46:40,18.05,17.35,18.09,17.35,59299000,-3.8781163434903
2003-04-08 00:46:40,17.39,17.1,17.48,16.94,48778100,-1.667625071880386
2003-04-09 00:46:40,17.15,16.68,17.43,16.65,56516400,-2.740524781341102
2003-04-10 00:46:40,16.86,16.88,16.98,16.56,44893000,0.11862396204032961
2003-04-11 00:46:40,17.25,16.74,17.38,16.64,41744200,-2.956521739130444
2003-04-14 00:46:40,16.82,17.16,17.2,16.65,41620500,2.0214030915576684
2003-04-15 00:46:40,17.13,17.13,17.34,16.92,62708600,0.0
2003-04-16 00:46:40,17.96,18.16,18.32,17.8,106294400,1.1135857461024459
2003-04-17 00:46:40,17.99,18.66,18.69,17.89,68959104,3.724291272929415
2003-04-21 00:46:40,18.55,18.65,18.79,18.29,50354700,0.539083557951471
2003-04-22 00:46:40,18.29,19.0,19.02,18.24,60474700,3.8819026790596003
2003-04-23 00:46:40,19.05,19.48,19.56,18.89,63125000,2.2572178477690272
2003-04-24 00:46:40,19.35,18.95,19.35,18.69,65451700,-2.0671834625323107
2003-04-25 00:46:40,18.55,18.28,18.59,18.06,60849000,-1.4555256064690003
2003-04-28 00:46:40,18.34,18.75,18.88,18.18,51125000,2.235550708833152
2003-04-29 00:46:40,18.97,18.92,19.27,18.7,60841900,-0.2635740643120567
2003-04-30 00:46:40,18.84,18.4,18.91,18.36,64415500,-2.3354564755838707
2003-05-01 00:46:40,18.37,18.53,18.76,18.3,52929100,0.8709853021230275
2003-05-02 00:46:40,18.55,19.03,19.08,18.39,59571700,2.587601078167118
2003-05-05 00:46:40,19.24,19.02,19.43,18.97,55276200,-1.1434511434511376
2003-05-06 00:46:40,18.98,19.53,19.68,18.93,62109200,2.8977871443624905
2003-05-07 00:46:40,19.28,19.2,19.54,19.06,53515100,-0.4149377593361091
2003-05-08 00:46:40,18.92,18.87,19.27,18.84,54055600,-0.2642706131078261
2003-05-09 00:46:40,19.33,19.58,19.58,19.17,51872500,1.2933264355923437
2003-05-12 00:46:40,19.48,19.99,20.03,19.43,68815600,2.618069815195062
2003-05-13 00:46:40,19.79,19.83,19.96,19.65,46439800,0.20212228398180468
2003-05-14 00:46:40,19.91,19.66,19.97,19.3,57713200,-1.255650426921145
2003-05-15 00:46:40,19.85,20.0,20.11,19.61,71834200,0.755667506297222
2003-05-16 00:46:40,19.7,19.5,20.0,19.45,56693900,-1.0152284263959355
2003-05-19 00:46:40,19.15,18.67,19.31,18.63,59059300,-2.506527415143587
2003-05-20 00:46:40,18.67,18.66,18.85,18.51,56797200,-0.05356186395287393
2003-05-21 00:46:40,18.79,18.84,18.89,18.57,49470700,0.26609898882384625
2003-05-22 00:46:40,18.93,18.77,19.06,18.73,60999000,-0.8452192287374545
2003-05-23 00:46:40,18.77,18.81,18.99,18.72,36898400,0.2131060202450674
2003-05-27 00:46:40,18.69,19.78,19.79,18.67,71371296,5.8319957196361685
2003-05-28 00:46:40,19.85,19.74,20.1,19.61,69176896,-0.5541561712846498
2003-05-29 00:46:40,19.8,20.83,20.97,19.78,122283696,5.20202020202019
2003-05-30 00:46:40,20.87,20.82,21.01,20.44,69245000,-0.23957834211787593
2003-06-02 00:46:40,21.0,20.38,21.16,20.3,73472400,-2.952380952380957
2003-06-03 00:46:40,20.36,21.1,21.12,20.18,67898600,3.6345776031434283
2003-06-04 00:46:40,21.03,21.38,21.5,20.85,79271296,1.6642891107940934
2003-06-05 00:46:40,21.09,21.84,21.95,20.8,88161800,3.556187766714083
2003-06-06 00:46:40,22.46,21.76,22.92,21.74,105871504,-3.1166518254674944
2003-06-09 00:46:40,21.59,21.67,21.78,21.14,50303400,0.3705419175544319
2003-06-10 00:46:40,21.91,21.97,21.98,21.47,52440200,0.27384755819260026
2003-06-11 00:46:40,21.53,21.89,21.96,21.4,54241500,1.6720854621458403
2003-06-12 00:46:40,22.01,22.14,22.34,21.88,59508600,0.5906406179009496
2003-06-13 00:46:40,21.96,21.36,22.06,21.2,58853400,-2.7322404371584765
2003-06-16 00:46:40,21.5,21.87,21.94,21.32,52015900,1.7209302325581444
2003-06-17 00:46:40,21.97,21.45,22.01,21.38,50766600,-2.366863905325442
2003-06-18 00:46:40,21.3,21.75,21.97,21.14,62519500,2.1126760563380245
2003-06-19 00:46:40,21.66,21.12,21.92,21.12,69563696,-2.4930747922437635
2003-06-20 00:46:40,21.34,20.67,21.42,20.64,78909400,-3.139643861293337
2003-06-23 00:46:40,20.7,20.36,20.97,20.05,59628100,-1.6425120772946853
2003-06-24 00:46:40,20.11,20.45,20.74,20.04,63799700,1.6907011437095967
2003-06-25 00:46:40,20.53,20.04,20.83,19.99,61250600,-2.3867510959571456
2003-06-26 00:46:40,20.3,20.63,20.76,20.15,52904900,1.6256157635467898
2003-06-27 00:46:40,20.7,20.57,21.13,20.53,63348200,-0.6280193236714928
2003-06-30 00:46:40,21.14,20.81,21.3,20.59,51457500,-1.561021759697265
2003-07-01 00:46:40,20.87,21.41,21.5,20.51,64496600,2.5874460948730196
2003-07-02 00:46:40,21.66,22.21,22.32,21.47,74291504,2.5392428439519885
2003-07-03 00:46:40,21.97,21.72,22.31,21.71,40502400,-1.137915339098771
2003-07-07 00:46:40,22.24,22.91,22.98,22.17,56553100,3.012589928057562
2003-07-08 00:46:40,22.83,23.15,23.4,22.67,64980800,1.4016644765659234
2003-07-09 00:46:40,23.3,23.48,23.99,23.25,78521904,0.7725321888412005
2003-07-10 00:46:40,23.07,22.91,23.3,22.61,63261600,-0.6935413957520595
2003-07-11 00:46:40,23.29,23.34,23.5,23.07,46535400,0.2146844139115531
2003-07-14 00:46:40,24.27,24.02,24.58,23.85,76909400,-1.0300782859497322
2003-07-15 00:46:40,24.44,24.1,24.77,23.67,102323696,-1.3911620294599012
2003-07-16 00:46:40,25.24,25.31,25.5,24.82,128925696,0.27733755942947813
2003-07-17 00:46:40,24.69,24.93,25.1,24.6,71736800,0.9720534629404554
2003-07-18 00:46:40,25.1,24.66,25.15,24.15,65296900,-1.7529880478087698
2003-07-21 00:46:40,24.6,24.06,24.63,23.95,52851200,-2.195121951219523
2003-07-22 00:46:40,24.39,24.42,24.53,24.05,61074300,0.12300123001230479
2003-07-23 00:46:40,24.37,24.81,24.9,24.26,49058200,1.8054985638079513
2003-07-24 00:46:40,25.15,23.97,25.17,23.95,58119100,-4.691848906560636
2003-07-25 00:46:40,24.17,24.91,24.94,23.73,52627700,3.0616466694249005
2003-07-28 00:46:40,24.92,24.76,25.13,24.61,45462200,-0.6420545746388449
2003-07-29 00:46:40,24.81,24.9,25.23,24.7,68217600,0.3627569528415956
2003-07-30 00:46:40,24.86,24.49,24.87,24.28,40786200,-1.4883346741753862
2003-07-31 00:46:40,24.8,24.89,25.35,24.68,68692096,0.362903225806451
2003-08-01 00:46:40,24.78,25.02,25.07,24.73,48494900,0.9685230024213012
2003-08-04 00:46:40,24.91,25.13,25.23,24.39,53570000,0.8831794460056157
2003-08-05 00:46:40,25.12,24.27,25.12,24.23,51979800,-3.383757961783445
2003-08-06 00:46:40,24.1,24.14,24.55,23.81,57799000,0.1659751037344363
2003-08-07 00:46:40,23.94,23.99,24.3,23.86,48517800,0.20885547201335486
2003-08-08 00:46:40,24.15,23.58,24.22,23.33,57453600,-2.3602484472049703
2003-08-11 00:46:40,23.62,23.9,24.13,23.58,41624600,1.185436071126154
2003-08-12 00:46:40,24.09,24.37,24.4,23.82,48475100,1.1623080116230848
2003-08-13 00:46:40,24.5,24.71,25.0,24.3,51882500,0.8571428571428606
2003-08-14 00:46:40,24.8,25.14,25.17,24.55,51830000,1.370967741935483
2003-08-15 00:46:40,25.09,25.05,25.25,24.81,21622800,-0.15942606616181407
2003-08-18 00:46:40,25.1,26.19,26.23,25.05,59081000,4.342629482071712
2003-08-19 00:46:40,26.37,26.47,26.54,25.92,55966300,0.37921880925293083
2003-08-20 00:46:40,26.14,26.36,26.74,26.13,47210300,0.8416220351950989
2003-08-21 00:46:40,26.69,26.39,26.78,26.01,66434900,-1.1240164855751245
2003-08-22 00:46:40,28.16,27.39,29.04,27.32,120604096,-2.7343749999999987
2003-08-25 00:46:40,27.56,27.24,27.76,27.07,52037500,-1.1611030478955018
2003-08-26 00:46:40,26.96,27.71,27.74,26.68,65213400,2.7818991097922847
2003-08-27 00:46:40,27.61,28.02,28.08,27.42,58217200,1.48496921405288
2003-08-28 00:46:40,28.1,28.3,28.35,27.85,48631600,0.7117437722419904
2003-08-29 00:46:40,28.18,28.59,28.65,28.04,41986600,1.4549325762952452
2003-09-02 00:46:40,28.77,28.74,28.84,28.17,58841200,-0.10427528675704253
2003-09-03 00:46:40,28.94,28.22,28.97,28.04,60714800,-2.4879060124395385
2003-09-04 00:46:40,28.32,28.6,28.74,28.04,63744700,0.9887005649717555
2003-09-05 00:46:40,28.83,28.71,29.1,28.37,68429904,-0.41623309053068835
2003-09-08 00:46:40,28.88,29.18,29.2,28.8,52154000,1.0387811634349056
2003-09-09 00:46:40,29.0,28.79,29.13,28.66,49792900,-0.7241379310344856
2003-09-10 00:46:40,28.44,27.66,28.49,27.63,57999300,-2.742616033755278
2003-09-11 00:46:40,27.62,28.03,28.35,27.29,56654900,1.4844315713251273
2003-09-12 00:46:40,27.81,28.34,28.39,27.55,51931600,1.9057892844300655
2003-09-15 00:46:40,28.33,27.99,28.45,27.91,36350400,-1.2001411930815387
2003-09-16 00:46:40,28.08,28.91,28.99,28.02,48748000,2.9558404558404625
2003-09-17 00:46:40,28.94,28.88,29.38,28.77,52827300,-0.20732550103663536
2003-09-18 00:46:40,28.69,29.16,29.28,28.46,46619000,1.6382014639247082
2003-09-19 00:46:40,29.3,29.17,29.36,28.83,53550300,-0.4436860068259351
2003-09-22 00:46:40,28.6,28.52,28.77,28.2,48490600,-0.2797202797202862
2003-09-23 00:46:40,28.51,28.94,29.0,28.42,43934300,1.5082427218519807
2003-09-24 00:46:40,28.9,27.78,29.0,27.74,59596400,-3.8754325259515485
2003-09-25 00:46:40,27.94,27.45,28.35,27.4,57560700,-1.7537580529706585
2003-09-26 00:46:40,27.5,27.27,27.84,27.22,68682000,-0.8363636363636379
