Datetime,Open,Close,High,Low,Volume,Gain%
2022-04-28 00:46:40,8.72,7.5,10.8,7.336,186956,-13.9908256880734
2022-04-29 00:46:40,8.49,6.5,8.49,5.75,100593,-23.439340400471146
2022-05-02 00:46:40,12.2,10.95,12.38,8.04,17842673,-10.245901639344263
2022-05-03 00:46:40,15.92,12.62,18.14,12.45,28541238,-20.728643216080407
2022-05-04 00:46:40,10.93,14.51,14.9,10.54,4531605,32.75388838060385
2022-05-05 00:46:40,14.75,14.98,16.88,13.86,3598959,1.5593220338983078
2022-05-06 00:46:40,14.34,13.47,15.4099,12.56,2212495,-6.066945606694555
2022-05-09 00:46:40,13.52,10.35,14.08,10.11,992122,-23.44674556213018
2022-05-10 00:46:40,10.46,8.94,11.73,8.88,634845,-14.531548757170185
2022-05-11 00:46:40,8.36,7.19,9.0,7.01,561946,-13.995215311004774
2022-05-12 00:46:40,6.3,6.62,6.89,5.33,1085656,5.079365079365084
2022-05-13 00:46:40,6.36,6.79,7.2546,6.36,582436,6.761006289308172
2022-05-16 00:46:40,6.75,6.1,7.18,5.86,489918,-9.629629629629635
2022-05-17 00:46:40,7.02,6.22,7.1499,6.01,1359216,-11.396011396011394
2022-05-18 00:46:40,6.06,5.19,6.27,5.15,642633,-14.356435643564344
2022-05-19 00:46:40,5.23,4.86,5.33,4.81,610657,-7.074569789674953
2022-05-20 00:46:40,4.75,4.79,5.05,4.34,778762,0.8421052631578954
2022-05-23 00:46:40,4.8,5.14,5.36,4.51,553046,7.08333333333333
2022-05-24 00:46:40,5.1,5.45,5.7,4.82,570803,6.862745098039226
2022-05-25 00:46:40,5.59,5.95,6.06,5.3,478068,6.440071556350632
2022-05-26 00:46:40,5.94,6.52,6.8,5.88,414970,9.76430976430975
2022-05-27 00:46:40,6.66,7.91,8.0,6.51,687403,18.76876876876877
2022-05-31 00:46:40,8.0,7.68,8.1,7.0,605136,-4.0000000000000036
2022-06-01 00:46:40,7.53,8.57,8.73,7.2112,977029,13.811420982735722
2022-06-02 00:46:40,8.45,7.95,8.45,7.3416,783900,-5.9171597633136
2022-06-03 00:46:40,7.73,7.94,8.3,7.69,862959,2.716688227684346
2022-06-06 00:46:40,7.95,4.1,8.12,4.1,3143952,-48.42767295597485
2022-06-07 00:46:40,4.44,4.0,4.48,3.81,1677103,-9.909909909909919
2022-06-08 00:46:40,4.0,4.18,4.3345,3.9,1080275,4.499999999999993
2022-06-09 00:46:40,4.78,4.2,5.24,4.13,2956466,-12.133891213389122
2022-06-10 00:46:40,4.06,3.62,4.12,3.5272,1277722,-10.837438423645308
2022-06-13 00:46:40,3.4,3.2,3.58,3.12,782704,-5.882352941176463
2022-06-14 00:46:40,3.24,2.93,3.3202,2.8901,591253,-9.567901234567902
2022-06-15 00:46:40,2.92,2.84,3.12,2.64,860974,-2.739726027397263
2022-06-16 00:46:40,2.74,2.67,2.74,2.55,703383,-2.5547445255474552
2022-06-17 00:46:40,2.67,4.0,5.07,2.64,23696174,49.81273408239701
2022-06-21 00:46:40,4.07,3.75,4.07,3.615,2224665,-7.862407862407869
2022-06-22 00:46:40,3.74,3.59,3.84,3.58,801773,-4.010695187165784
2022-06-23 00:46:40,3.57,3.45,3.6,3.3,467105,-3.3613445378151168
2022-06-24 00:46:40,3.44,3.2,3.59,3.15,454825,-6.9767441860465045
2022-06-27 00:46:40,3.41,2.94,3.41,2.94,519692,-13.782991202346045
2022-06-28 00:46:40,2.93,2.95,3.2,2.92,572736,0.6825938566552906
2022-06-29 00:46:40,2.99,2.715,3.0278,2.65,421108,-9.19732441471573
2022-06-30 00:46:40,2.82,2.68,2.8553,2.66,439891,-4.9645390070921875
2022-07-01 00:46:40,2.58,2.59,2.67,2.4,532458,0.3875968992247979
2022-07-05 00:46:40,2.57,3.07,3.1,2.5,622461,19.45525291828794
2022-07-06 00:46:40,3.1,3.03,3.1,2.88,196535,-2.2580645161290414
2022-07-07 00:46:40,2.95,3.14,3.14,2.76,317655,6.440677966101694
2022-07-08 00:46:40,3.09,3.1,3.14,2.93,174438,0.32362459546926314
2022-07-11 00:46:40,3.02,3.25,3.4299,2.86,723809,7.6158940397351
2022-07-12 00:46:40,3.28,3.5,3.5,2.96,532240,6.707317073170738
2022-07-13 00:46:40,3.24,3.37,3.6,3.11,241845,4.012345679012342
2022-07-14 00:46:40,3.27,3.23,3.49,3.0223,226462,-1.2232415902140683
2022-07-15 00:46:40,3.22,3.52,3.69,3.21,436790,9.316770186335397
2022-07-18 00:46:40,3.57,3.63,3.8,3.32,617533,1.6806722689075646
2022-07-19 00:46:40,3.65,3.68,3.72,3.46,308412,0.8219178082191849
2022-07-20 00:46:40,3.69,4.25,4.25,3.68,506751,15.176151761517618
2022-07-21 00:46:40,4.16,4.17,4.53,4.04,392804,0.24038461538461023
2022-07-22 00:46:40,4.13,3.73,4.195,3.43,458449,-9.685230024213073
2022-07-25 00:46:40,3.73,4.1,4.16,3.58,341642,9.919571045576399
2022-07-26 00:46:40,4.05,3.6,4.05,3.53,179882,-11.111111111111105
2022-07-27 00:46:40,3.62,3.79,3.88,3.61,220657,4.69613259668508
2022-07-28 00:46:40,3.71,3.69,3.71,3.45,177123,-0.539083557951483
2022-07-29 00:46:40,3.65,3.5,3.805,3.48,241290,-4.109589041095888
2022-08-01 00:46:40,3.46,3.65,3.75,3.3201,188647,5.491329479768785
2022-08-02 00:46:40,3.65,3.93,3.93,3.56,288651,7.671232876712336
2022-08-03 00:46:40,3.84,3.8,3.9499,3.53,257242,-1.0416666666666676
2022-08-04 00:46:40,3.78,3.7,3.8,3.56,136590,-2.1164021164021065
2022-08-05 00:46:40,3.69,3.77,3.81,3.55,143603,2.168021680216804
2022-08-08 00:46:40,3.76,3.51,3.805,3.47,232583,-6.648936170212766
2022-08-09 00:46:40,3.51,3.21,3.51,3.15,284713,-8.547008547008543
2022-08-10 00:46:40,3.22,3.57,3.57,3.1817,313548,10.869565217391292
2022-08-11 00:46:40,3.6,3.57,3.77,3.23,480117,-0.8333333333333403
2022-08-12 00:46:40,3.59,3.66,3.76,3.42,334873,1.9498607242339914
